method,body_mult,atr_mult,fvg_atr_pct,rr_ratio,total_trades,win_count,loss_count,win_rate,avg_win_pct,avg_loss_pct,actual_rr,total_pnl_pct,max_drawdown_pct,expectancy
atr,,1.5,10,5.0,91,24,67,26.37,4.8033,0.998,4.81,48.41,-11.64,0.532
atr,,1.5,10,5.0,91,24,67,26.37,4.8033,0.998,4.81,48.41,-11.64,0.532
atr,,1.5,10,5.0,91,24,67,26.37,4.8033,0.998,4.81,48.41,-11.64,0.532
atr,,1.5,10,5.0,91,24,67,26.37,4.8033,0.998,4.81,48.41,-11.64,0.532
atr,,1.5,30,5.0,75,21,54,28.0,4.9213,1.0574,4.65,46.25,-10.11,0.6166
atr,,1.5,30,5.0,75,21,54,28.0,4.9213,1.0574,4.65,46.25,-10.11,0.6166
atr,,1.5,30,5.0,75,21,54,28.0,4.9213,1.0574,4.65,46.25,-10.11,0.6166
atr,,1.5,30,5.0,75,21,54,28.0,4.9213,1.0574,4.65,46.25,-10.11,0.6166
atr,,1.5,50,5.0,63,18,45,28.57,5.172,1.0514,4.92,45.78,-10.11,0.7267
atr,,1.5,50,5.0,63,18,45,28.57,5.172,1.0514,4.92,45.78,-10.11,0.7267
atr,,1.5,50,5.0,63,18,45,28.57,5.172,1.0514,4.92,45.78,-10.11,0.7267
atr,,1.5,50,5.0,63,18,45,28.57,5.172,1.0514,4.92,45.78,-10.11,0.7267
body,2.0,,10,5.0,186,45,141,24.19,3.6588,0.8603,4.25,43.35,-16.6,0.233
body,2.0,,10,5.0,186,45,141,24.19,3.6588,0.8603,4.25,43.35,-16.6,0.233
body,2.0,,10,5.0,186,45,141,24.19,3.6588,0.8603,4.25,43.35,-16.6,0.233
body,2.0,,10,5.0,186,45,141,24.19,3.6588,0.8603,4.25,43.35,-16.6,0.233
body,3.0,,50,5.0,63,17,46,26.98,5.3791,1.0526,5.11,43.03,-9.75,0.683
body,3.0,,50,5.0,63,17,46,26.98,5.3791,1.0526,5.11,43.03,-9.75,0.683
body,3.0,,50,5.0,63,17,46,26.98,5.3791,1.0526,5.11,43.03,-9.75,0.683
body,3.0,,50,5.0,63,17,46,26.98,5.3791,1.0526,5.11,43.03,-9.75,0.683
atr,,1.5,20,5.0,84,21,63,25.0,4.9213,0.9987,4.93,40.43,-10.42,0.4813
atr,,1.5,20,5.0,84,21,63,25.0,4.9213,0.9987,4.93,40.43,-10.42,0.4813
atr,,1.5,20,5.0,84,21,63,25.0,4.9213,0.9987,4.93,40.43,-10.42,0.4813
atr,,1.5,20,5.0,84,21,63,25.0,4.9213,0.9987,4.93,40.43,-10.42,0.4813
body,3.0,,30,5.0,77,19,58,24.68,5.2209,1.0369,5.03,39.05,-9.75,0.5072
body,3.0,,30,5.0,77,19,58,24.68,5.2209,1.0369,5.03,39.05,-9.75,0.5072
body,3.0,,30,5.0,77,19,58,24.68,5.2209,1.0369,5.03,39.05,-9.75,0.5072
body,3.0,,30,5.0,77,19,58,24.68,5.2209,1.0369,5.03,39.05,-9.75,0.5072
atr,,2.0,10,5.0,44,13,31,29.55,5.6186,1.1082,5.07,38.69,-10.89,0.8793
atr,,2.0,10,5.0,44,13,31,29.55,5.6186,1.1082,5.07,38.69,-10.89,0.8793
atr,,2.0,10,5.0,44,13,31,29.55,5.6186,1.1082,5.07,38.69,-10.89,0.8793
atr,,2.0,10,5.0,44,13,31,29.55,5.6186,1.1082,5.07,38.69,-10.89,0.8793
body,3.0,,10,5.0,98,22,76,22.45,5.0362,0.965,5.22,37.46,-13.62,0.3822
body,3.0,,10,5.0,98,22,76,22.45,5.0362,0.965,5.22,37.46,-13.62,0.3822
body,3.0,,10,5.0,98,22,76,22.45,5.0362,0.965,5.22,37.46,-13.62,0.3822
body,3.0,,10,5.0,98,22,76,22.45,5.0362,0.965,5.22,37.46,-13.62,0.3822
atr,,2.0,50,5.0,34,11,23,32.35,5.7512,1.2232,4.7,35.13,-10.89,1.0332
atr,,2.0,50,5.0,34,11,23,32.35,5.7512,1.2232,4.7,35.13,-10.89,1.0332
atr,,2.0,50,5.0,34,11,23,32.35,5.7512,1.2232,4.7,35.13,-10.89,1.0332
atr,,2.0,50,5.0,34,11,23,32.35,5.7512,1.2232,4.7,35.13,-10.89,1.0332
atr,,1.5,50,4.0,63,20,43,31.75,3.9725,1.0619,3.74,33.79,-10.11,0.5363
atr,,1.5,50,4.0,63,20,43,31.75,3.9725,1.0619,3.74,33.79,-10.11,0.5363
atr,,1.5,50,4.0,63,20,43,31.75,3.9725,1.0619,3.74,33.79,-10.11,0.5363
atr,,1.5,50,4.0,63,20,43,31.75,3.9725,1.0619,3.74,33.79,-10.11,0.5363
body,3.0,,20,5.0,89,20,69,22.47,5.0509,0.9747,5.18,33.76,-11.42,0.3793
